epoch,train_loss,train_acc,test_loss,test_acc,orth_avg_alpha,orth_avg_clamp
1,0.855763,0.763982,0.649755,0.807000,0.017402,0.094594
2,0.371183,0.884675,0.529829,0.842200,0.011479,0.098935
3,0.233155,0.924880,0.559470,0.833000,0.009660,0.106247
4,0.153417,0.949379,0.589287,0.841600,0.008383,0.110099
5,0.112797,0.964443,0.646755,0.833900,0.007436,0.112068
6,0.082931,0.973357,0.625163,0.848000,0.006685,0.112428
7,0.068584,0.977804,0.679594,0.839200,0.006257,0.115184
8,0.056894,0.981871,0.730750,0.830300,0.005688,0.113546
9,0.046608,0.985377,0.684997,0.846100,0.005398,0.115277
10,0.036231,0.988021,0.737607,0.839700,0.005000,0.113501
11,0.032723,0.989323,0.732740,0.848900,0.004651,0.111401
12,0.025227,0.991947,0.777224,0.844900,0.004182,0.104674
13,0.018612,0.994091,0.732295,0.854200,0.003765,0.098098
14,0.015076,0.995072,0.813522,0.844700,0.003368,0.090874
15,0.011570,0.996214,0.772253,0.856100,0.002861,0.079145
16,0.007986,0.997636,0.813269,0.852700,0.002263,0.063843
17,0.004070,0.998658,0.803971,0.857500,0.001355,0.038429
18,0.004843,0.998197,0.802798,0.858000,0.001407,0.040363
19,0.002240,0.999199,0.818274,0.855000,0.000857,0.024222
20,0.002609,0.999018,0.800424,0.864800,0.000831,0.023531
21,0.001162,0.999559,0.760774,0.871000,0.000416,0.010879
22,0.001045,0.999479,0.744115,0.873700,0.000304,0.007110
23,0.001209,0.999459,0.735477,0.874700,0.000307,0.007152
24,0.000781,0.999539,0.750948,0.874800,0.000279,0.006191
25,0.000735,0.999599,0.742396,0.878600,0.000227,0.004475
26,0.000628,0.999679,0.751345,0.876300,0.000216,0.004039
27,0.000544,0.999780,0.749842,0.875700,0.000178,0.002821
28,0.000509,0.999760,0.757398,0.876100,0.000183,0.002850
29,0.000466,0.999720,0.758727,0.876100,0.000176,0.002656
30,0.000383,0.999820,0.759843,0.876400,0.000163,0.002258
